Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Han,2024-12-31 21:45:23,00:12:21,Autoplayed: user action: User_Interaction; ,The End of the F***ing World: 1. Sezon: 5. Bölüm (Bölüm 5),,Sony PS4,00:12:21,00:12:21,TR (Turkey)
Han,2024-12-31 21:44:15,00:00:02,Autoplayed: user action: None; ,Black Mirror: 3. Sezon: San Junipero (Bölüm 4),,Sony PS4,00:00:02,00:00:02,TR (Turkey)
Han,2024-12-31 21:43:14,00:00:33,Autoplayed: user action: None; ,Young Sheldon: Season 1_hook_01_16x9_backfill,HOOK,Sony PS4,00:00:33,00:00:33,TR (Turkey)
Han,2024-12-31 18:21:36,00:00:10,,Black Mirror: 3. Sezon: San Junipero (Bölüm 4),,Sony PS4,00:00:12,Not latest view,TR (Turkey)
Han,2024-12-31 17:46:33,00:24:42,,Squid Game: Şömine Keyfi,,Sony PS4,00:32:49,00:32:49,TR (Turkey)
Han,2024-12-31 17:29:24,00:01:20,Autoplayed: user action: None; ,Black Mirror: 3. Sezon: Sus ve Dans Et (Bölüm 3),,Sony PS4,00:01:26,00:01:26,TR (Turkey)
Han,2024-12-31 16:31:00,00:55:15,,Black Mirror: 3. Sezon: Artırılmış Gerçeklik (Bölüm 2),,Sony PS4,00:55:49,00:55:49,TR (Turkey)
Han,2024-12-31 16:29:46,00:00:07,,Black Mirror: 3. Sezon: Sosyal Linç (Bölüm 6),,Sony PS4,00:00:28,00:00:28,TR (Turkey)
Han,2024-12-31 16:29:07,00:00:03,,Black Mirror: 3. Sezon: San Junipero (Bölüm 4),,Sony PS4,00:00:03,Not latest view,TR (Turkey)
Han,2024-12-31 16:27:12,00:00:11,Autoplayed: user action: None; ,The End of the F***ing World (Fragman),TRAILER,Sony PS4,00:00:11,00:00:11,TR (Turkey)
Han,2024-12-30 21:45:47,00:00:10,,The End of the F***ing World: 1. Sezon: 5. Bölüm (Bölüm 5),,Sony PS4,00:00:15,Not latest view,TR (Turkey)
Han,2024-12-30 21:25:24,00:20:21,,The End of the F***ing World: 1. Sezon: 4. Bölüm (Bölüm 4),,Sony PS4,00:20:35,00:20:35,TR (Turkey)
Han,2024-12-30 21:04:37,00:20:43,,The End of the F***ing World: 1. Sezon: 3. Bölüm (Bölüm 3),,Sony PS4,00:20:57,00:20:57,TR (Turkey)
Han,2024-12-30 20:36:53,00:27:01,,The End of the F***ing World: 1. Sezon: 2. Bölüm (Bölüm 2),,Sony PS4,00:21:11,00:21:11,TR (Turkey)
Han,2024-12-30 20:18:50,00:18:01,,The End of the F***ing World: 1. Sezon: 1. Bölüm (Bölüm 1),,Sony PS4,00:18:01,00:18:01,TR (Turkey)
Han,2024-12-30 20:18:21,00:00:20,Autoplayed: user action: User_Interaction; ,The End of the F***ing World (Fragman),TRAILER,Sony PS4,00:00:20,Not latest view,TR (Turkey)
Han,2024-12-30 20:18:13,00:00:07,Autoplayed: user action: None; ,3. Sezon (Fragman): Dead to Me,TRAILER,Sony PS4,00:00:07,00:00:07,TR (Turkey)
Han,2024-12-30 20:18:04,00:00:06,Autoplayed: user action: None; ,Mini Dizi (Kısa Video): Clark,HOOK,Sony PS4,00:00:06,00:00:06,TR (Turkey)
Han,2024-12-30 20:17:38,00:00:24,Autoplayed: user action: None; ,When They See Us (2. Tematik Fragman: Aile Bağları),TRAILER,Sony PS4,00:00:24,00:00:24,TR (Turkey)
Han,2024-12-30 20:17:32,00:00:04,Autoplayed: user action: None; ,Big Mouth: Season 5 - Baseline Clip 2,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-30 20:16:46,00:00:17,Autoplayed: user action: User_Interaction; ,Mini Dizi (Kısa Video): Clickbait,HOOK,Sony PS4,00:00:17,00:00:17,TR (Turkey)
Han,2024-12-30 20:15:53,00:00:25,Autoplayed: user action: User_Interaction; ,3. Sezon (Bonus Video): How to Sell Drugs Online (Fast),HOOK,Sony PS4,00:00:25,00:00:25,TR (Turkey)
Han,2024-12-30 20:15:42,00:00:08,Autoplayed: user action: None; ,2. Sezon (Fragman): En Güçlü 100,TRAILER,Sony PS4,00:00:08,00:00:08,TR (Turkey)
Han,2024-12-30 20:15:18,00:00:04,Autoplayed: user action: None; ,"House, M.D.: Season 1_hook_primary_16x9",HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-30 19:58:21,00:16:02,Autoplayed: user action: User_Interaction; ,Squid Game: 2. Sezon: Cadılar Bayramı Partisi (Bölüm 2),,Sony PS4,00:16:10,00:16:10,TR (Turkey)
Han,2024-12-30 18:58:21,00:59:56,,Squid Game: 2. Sezon: Ekmek ve Piyango (Bölüm 1),,Sony PS4,00:59:56,00:59:56,TR (Turkey)
Han,2024-12-30 18:56:56,00:00:17,Autoplayed: user action: None; ,"Squid Game: 1. Sezon: Kırmızı Işık, Yeşil Işık (Bölüm 1)",,Sony PS4,00:00:14,00:00:14,TR (Turkey)
Han,2024-12-28 21:44:31,00:32:56,,Squid Game: 2. Sezon: Dost mu Düşman mı? (Bölüm 7),,Sony PS4,00:53:54,00:53:54,TR (Turkey)
Han,2024-12-28 20:58:49,00:43:30,,Squid Game: 2. Sezon: O ﻿ X (Bölüm 6),,Sony PS4,00:46:16,00:46:16,TR (Turkey)
Han,2024-12-28 19:54:17,00:00:01,,Squid Game: 2. Sezon: O ﻿ X (Bölüm 6),,Sony PS4,00:00:09,Not latest view,TR (Turkey)
Han,2024-12-28 19:43:50,00:08:59,,Squid Game: 2. Sezon: Bir Oyun Daha (Bölüm 5),,Sony PS4,01:10:04,01:10:04,TR (Turkey)
Han,2024-12-28 19:22:39,00:18:46,,Squid Game: 2. Sezon: Bir Oyun Daha (Bölüm 5),,Sony PS4,00:42:28,Not latest view,TR (Turkey)
Han,2024-12-28 18:28:51,00:53:29,,Squid Game: 2. Sezon: Altı Bacak (Bölüm 4),,Sony PS4,00:56:17,00:56:17,TR (Turkey)
Han,2024-12-28 10:04:39,00:00:23,Autoplayed: user action: None; ,Squid Game: 2. Sezon: Altı Bacak (Bölüm 4),,Sony PS4,00:00:31,Not latest view,TR (Turkey)
Han,2024-12-28 08:58:23,00:45:56,,Squid Game: 2. Sezon: 001 (Bölüm 3),,Sony PS4,00:56:02,00:56:02,TR (Turkey)
Han,2024-12-27 20:41:31,00:00:44,Autoplayed: user action: None; ,2. Sezon (9. Kısa Video): Squid Game,HOOK,Sony PS4,00:00:44,00:00:44,TR (Turkey)
Han,2024-12-27 19:29:33,00:11:49,,Squid Game: 2. Sezon: 001 (Bölüm 3),,Sony PS4,00:11:57,Not latest view,TR (Turkey)
Han,2024-12-27 18:36:20,00:45:54,,Squid Game: 2. Sezon: Cadılar Bayramı Partisi (Bölüm 2),,Sony PS4,00:46:02,Not latest view,TR (Turkey)
Han,2024-12-27 17:32:14,00:59:52,,Squid Game: 2. Sezon: Ekmek ve Piyango (Bölüm 1),,Sony PS4,00:59:53,Not latest view,TR (Turkey)
Han,2024-12-27 17:30:46,00:01:19,Autoplayed: user action: None; ,1. Sezon (Özet): Squid Game,RECAP,Sony PS4,00:01:19,00:01:19,TR (Turkey)
Han,2024-12-27 17:30:30,00:00:11,Autoplayed: user action: None; ,Main Trailer Cutdown 60 - Squid Game S2,TRAILER,Sony PS4,00:00:00,00:00:00,TR (Turkey)
Han,2024-12-25 21:54:45,00:02:31,,Bodyguard: 1. Sezon: 1. Bölüm (Bölüm 1),,Sony PS4,00:57:02,00:57:02,TR (Turkey)
Han,2024-12-25 20:57:26,00:57:06,Autoplayed: user action: User_Interaction; ,Bodyguard: 1. Sezon: 1. Bölüm (Bölüm 1),,Sony PS4,00:57:06,Not latest view,TR (Turkey)
Han,2024-12-25 20:46:05,00:09:46,Autoplayed: user action: User_Interaction; ,La Palma: Mini Dizi: Yalancı Çoban (Bölüm 1),,Sony PS4,00:08:46,00:08:46,TR (Turkey)
Han,2024-12-25 20:40:51,00:01:29,Autoplayed: user action: None; ,La Palma: Mini Dizi: Yalancı Çoban (Bölüm 1),,Sony PS4,00:01:29,Not latest view,TR (Turkey)
Han,2024-12-20 20:12:18,00:00:32,Autoplayed: user action: None; ,The Boy and the Heron_hook_01_16x9,HOOK,Sony PS4,00:00:32,00:00:32,TR (Turkey)
Han,2024-12-20 20:11:34,00:00:14,,Squid Game: Şömine Keyfi,,Sony PS4,00:08:10,Not latest view,TR (Turkey)
Han,2024-12-20 20:11:26,00:00:04,Autoplayed: user action: User_Interaction; ,오징어 게임 - 벽난로 영상 - Clip,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-20 20:10:44,00:00:29,Autoplayed: user action: None; ,4. Kısa Video: Ferry 2,HOOK,Sony PS4,00:00:29,00:00:29,TR (Turkey)
Han,2024-12-20 20:10:16,00:00:17,Autoplayed: user action: None; ,1. Sezon (8. Kısa Video): 1992,HOOK,Sony PS4,00:00:17,00:00:17,TR (Turkey)
Han,2024-12-20 20:09:27,00:00:42,Autoplayed: user action: None; ,5. Kısa Video: Ferry 2,HOOK,Sony PS4,00:00:42,00:00:42,TR (Turkey)
Han,2024-12-19 23:15:00,00:00:01,Has branched playback; Autoplayed: user action: None; ,Black Mirror: Bandersnatch,,Sony PS4,00:00:01,00:00:01,TR (Turkey)
Han,2024-12-19 22:21:56,00:00:05,Autoplayed: user action: None; ,2. Sezon (Fragman): Squid Game,TRAILER,Chrome PC (Cadmium),00:00:05,00:00:05,TR (Turkey)
Han,2024-12-18 18:56:20,00:00:07,Autoplayed: user action: None; ,Mortal World 2_hook_04_16x9,HOOK,Sony PS4,00:00:07,00:00:07,TR (Turkey)
Han,2024-12-18 18:55:24,00:00:16,Autoplayed: user action: None; ,Venom: Let There Be Carnage_hook_02_16x9_backfill,HOOK,Sony PS4,00:00:16,00:00:16,TR (Turkey)
Han,2024-12-18 17:05:42,01:49:17,,Kabin Bagajı,,Sony PS4,01:49:17,01:49:17,TR (Turkey)
Han,2024-12-18 17:05:08,00:00:31,Autoplayed: user action: User_Interaction; ,2. Kısa Video: Kabin Bagajı,HOOK,Sony PS4,00:00:31,00:00:31,TR (Turkey)
Han,2024-12-18 17:04:51,00:00:06,Autoplayed: user action: None; ,9. Kısa Video: Gelmiş Geçmiş En Büyük Soygun,HOOK,Sony PS4,00:00:06,00:00:06,TR (Turkey)
Han,2024-12-18 17:03:51,00:00:02,Autoplayed: user action: None; ,"Squid Game: The Challenge: 1. Sezon: Kırmızı Işık, Yeşil Işık (Bölüm 1)",,Sony PS4,00:00:02,00:00:02,TR (Turkey)
Han,2024-12-18 17:02:31,00:00:37,Autoplayed: user action: User_Interaction; ,Squid Game: Şömine Keyfi,,Sony PS4,00:07:58,Not latest view,TR (Turkey)
Han,2024-12-18 17:02:28,00:00:01,Autoplayed: user action: None; ,"Squid Game: The Challenge: 1. Sezon: Kırmızı Işık, Yeşil Işık (Bölüm 1)",,Sony PS4,00:00:01,Not latest view,TR (Turkey)
Han,2024-12-18 17:01:54,00:00:05,Autoplayed: user action: None; ,1. Sezon (Fragman): No Good Deed,TRAILER,Sony PS4,00:00:05,00:00:05,TR (Turkey)
Han,2024-12-18 17:01:03,00:00:19,Autoplayed: user action: None; ,2. Kısa Video: Kabin Bagajı,HOOK,Sony PS4,00:00:19,Not latest view,TR (Turkey)
Han,2024-12-18 16:59:34,00:00:06,Autoplayed: user action: None; ,6. Sezon (Kısa Video): The Crown,HOOK,Sony PS4,00:00:06,00:00:06,TR (Turkey)
Han,2024-12-18 16:59:23,00:00:04,Autoplayed: user action: None; ,House of Cards: Season 6_shortpreview_noStacks,PREVIEW,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-18 16:59:14,00:00:04,Autoplayed: user action: None; ,1. Sezon (Kısa Video): Squid Game: The Challenge,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-18 16:59:03,00:00:09,Autoplayed: user action: None; ,Mini Dizi (Tanıtım Fragmanı): Baby Reindeer,TEASER_TRAILER,Sony PS4,00:00:09,00:00:09,TR (Turkey)
Han,2024-12-18 16:58:52,00:00:09,Autoplayed: user action: None; ,The Good Place: Season 1_hook_primary_16x9,HOOK,Sony PS4,00:00:09,00:00:09,TR (Turkey)
Han,2024-12-18 16:58:38,00:00:04,Autoplayed: user action: None; ,Glitch (Fragman),TRAILER,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-18 16:58:30,00:00:06,Autoplayed: user action: None; ,1. Sezon (Kısa Video): The Gentlemen,HOOK,Sony PS4,00:00:06,00:00:06,TR (Turkey)
Han,2024-12-18 16:58:20,00:00:04,Autoplayed: user action: None; ,Vikings: Season 1 - CLM 2,HOOK,Sony PS4,00:00:04,00:00:04,TR (Turkey)
Han,2024-12-18 16:57:55,00:00:06,Autoplayed: user action: None; ,1. Sezon (5. Kısa Video): Black Doves,HOOK,Sony PS4,00:00:06,00:00:06,TR (Turkey)
Han,2024-12-18 16:56:58,00:00:12,Autoplayed: user action: User_Interaction; ,Mini Dizi (3. Kısa Video): The Madness,HOOK,Sony PS4,00:00:12,00:00:12,TR (Turkey)
