name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
istanbul,2023-12-31,14.9,10.7,12.5,14.9,10.7,12.5,9.9,84.3,0,0,0,,0,0,47.2,10.4,3.9,1020.5,71.4,8.6,44.1,3.8,3,,2023-12-31T08:29:05,2023-12-31T17:44:52,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,VRKZ7,LTFJ"
istanbul,2024-01-01,16.3,10.4,13,16.3,10.4,13,8.8,76.2,0,0,0,,0,0,25.9,11.4,196.6,1017.4,45.2,11.9,84.1,7.1,4,,2024-01-01T08:29:14,2024-01-01T17:45:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-01-02,14.5,9,12.4,14.5,7.8,12.2,9.8,84.3,5.226,100,4.17,rain,0,0,37.1,16,243.7,1015.1,74.8,10.7,42.1,3.6,2,,2024-01-02T08:29:20,2024-01-02T17:46:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-01-03,15.2,7.8,11.8,15.2,7.8,11.8,9.7,87.4,3.386,100,12.5,rain,0,0,46.1,19.4,243.1,1013.3,80,10.8,60.8,5,3,,2024-01-03T08:29:25,2024-01-03T17:47:23,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-04,15.5,11.1,13.4,15.5,11.1,13.4,10.2,81.3,0.207,100,8.33,rain,0,0,45,16.6,240.2,1009.9,63.5,12.4,87,7.5,4,,2024-01-04T08:29:27,2024-01-04T17:48:17,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-05,15.3,9.5,12.3,15.3,8.1,12.2,7.6,73.5,0.539,100,8.33,rain,0,0,44.6,21.3,244.8,1015.8,20.4,12.6,85.7,7.4,4,,2024-01-05T08:29:27,2024-01-05T17:49:12,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-06,16.6,9.4,12.7,16.6,9.4,12.7,5.5,62.3,0,0,0,,0,0,24.1,11.1,150.1,1016.6,51.9,12.5,80,6.9,5,,2024-01-06T08:29:24,2024-01-06T17:50:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-07,15,9.9,13,15,7.8,12.9,7.7,71.5,11.267,100,8.33,rain,0,0,54,26.7,198.5,1006.3,64.6,11.2,54.2,4.7,2,,2024-01-07T08:29:19,2024-01-07T17:51:06,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-08,15.5,6.2,12.4,15.5,2,11.8,8.3,76.8,8.426,100,16.67,rain,0,0,57.6,33.3,266.6,1007.6,77.3,12.2,74.6,6.4,3,,2024-01-08T08:29:12,2024-01-08T17:52:06,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-09,6.4,3.1,4.6,2.5,-2,-0.1,3.2,90.3,11.907,100,16.67,rain,0,0,60.8,31.7,19.6,1018.1,96.3,9.2,18.5,1.6,1,,2024-01-09T08:29:03,2024-01-09T17:53:06,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-10,6.8,3.1,4.7,3.5,-1.3,0.3,2.6,86.3,22.442,100,12.5,rain,0,0,63.7,34.4,20.5,1023.7,89.1,8.8,15.4,1.3,1,,2024-01-10T08:28:52,2024-01-10T17:54:08,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-11,5.2,3.8,4.5,5,0,2.2,0.7,76.4,2.83,100,8.33,rain,0,0,40,17.4,10.2,1022.9,87.9,12.6,14.4,1.2,1,,2024-01-11T08:28:38,2024-01-11T17:55:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-12,6.3,1.1,4,4.6,-1.2,1.7,-0.3,74,0.466,100,8.33,rain,0,0,49.7,26.9,4.3,1016.9,79.5,11.7,76.8,6.6,4,,2024-01-12T08:28:21,2024-01-12T17:56:15,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-13,3.6,0.3,2.2,3.6,-3.3,0.2,-3.4,66.8,0.088,100,4.17,"rain,snow",0,0,44.3,22.6,48.2,1020.5,66.9,12.5,76.2,6.5,3,,2024-01-13T08:28:03,2024-01-13T17:57:21,0.07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-14,7.8,-0.8,3.4,4.6,-3.8,1.7,-1.7,69.9,0,0,0,,0,0,34.6,20.5,227.5,1016.7,24.6,11.9,109.6,9.4,5,,2024-01-14T08:27:42,2024-01-14T17:58:27,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-15,11.9,7.7,9.8,11.9,4,8.4,3.4,64.4,0,0,0,,0,0,42.8,27.8,203.5,1012,56.7,12.8,84.8,7.2,5,,2024-01-15T08:27:20,2024-01-15T17:59:34,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-16,12.4,7.9,10.3,12.4,5.5,9.5,7.1,81.2,8.281,100,12.5,rain,0,0,42.5,20.1,116.2,1009.1,86.3,10.4,17.1,1.5,2,,2024-01-16T08:26:55,2024-01-16T18:00:42,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-17,12.8,5.6,8.6,12.8,3.7,7.8,5.8,82.7,0.131,100,4.17,rain,0,0,22.3,17.2,80.6,1017.9,21.5,12.3,97.9,8.5,5,,2024-01-17T08:26:27,2024-01-17T18:01:51,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-18,15.1,8.3,12.8,15.1,8.3,12.8,8.8,77.2,0.45,100,8.33,rain,0,0,51.5,22.3,200.8,1012.4,66.1,12.3,29.4,2.5,1,,2024-01-18T08:25:58,2024-01-18T18:03:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-19,17.3,12.8,15.1,17.3,12.8,15.1,10.6,74.5,1.261,100,8.33,rain,0,0,55.4,28.8,226.7,1009.1,65.2,12.1,56.5,5,5,,2024-01-19T08:25:26,2024-01-19T18:04:10,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-20,13.7,4.3,8.3,13.7,-0.3,5.7,6.7,89.7,8.982,100,8.33,rain,0,0,59,28.2,20.4,1016.9,72.2,7.7,14.4,1.2,1,,2024-01-20T08:24:53,2024-01-20T18:05:21,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-21,6.2,4.9,5.6,2.3,0.5,1.2,1.9,78,18.998,100,12.5,rain,0,0,58,34.7,32.7,1027.3,85.9,12.3,11.8,0.9,0,,2024-01-21T08:24:17,2024-01-21T18:06:33,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-22,7.1,4,5.5,3.5,-0.4,1.6,0.3,69.6,1.076,100,16.67,rain,0,0,51.8,26.8,43.9,1031.8,76.6,12.1,33.8,2.9,2,,2024-01-22T08:23:39,2024-01-22T18:07:45,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-23,7.7,2,5.1,5.4,-1.3,2.6,-0.7,66.1,0,0,0,,0,0,34.6,19.5,48.2,1026,41.4,12.6,134,11.5,6,,2024-01-23T08:22:59,2024-01-23T18:08:58,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-01-24,7,4.4,5.7,5.2,2,3.3,2.2,78.7,0.223,100,12.5,rain,0,0,32.4,17.4,16.2,1025.6,72,11.4,65.7,5.5,3,,2024-01-24T08:22:17,2024-01-24T18:10:11,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-25,9.8,3.5,7.2,8.8,3.5,5.9,3.8,78.8,0.597,100,4.17,rain,0,0,41.8,19.8,243.7,1018.8,85.4,12.6,61.5,5.4,2,,2024-01-25T08:21:33,2024-01-25T18:11:24,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-26,9.4,4.3,7.3,9,3,6.3,3.4,76.8,2.941,100,12.5,rain,0,0,29.2,16.1,321,1018.9,81.6,12.1,83,7.2,3,,2024-01-26T08:20:48,2024-01-26T18:12:38,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-27,8.8,3.5,6.5,7.5,2.8,5.3,3.4,81,1.889,100,12.5,rain,0,0,36.7,18.6,282.9,1021.4,78.4,12.4,84.5,7.4,4,,2024-01-27T08:20:00,2024-01-27T18:13:52,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-28,6.5,4.7,5.5,5,1.8,3.1,1.6,76.1,5.544,100,12.5,rain,0,0,42.5,17.1,353.3,1027.1,85.6,12.4,95.3,8.2,4,,2024-01-28T08:19:10,2024-01-28T18:15:07,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-29,5.1,2.8,3.8,1.5,-1.6,0.5,2.1,89,13.796,100,16.67,rain,0,0,46.1,29.6,20.1,1031,87,10.8,95.5,8.1,4,,2024-01-29T08:18:18,2024-01-29T18:16:21,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-01-30,6.8,3,4.7,2.5,-0.7,0.6,1.8,82.1,9.955,100,16.67,rain,0,0,59.4,35.4,41.8,1031.6,75.1,11.9,102.7,8.9,4,,2024-01-30T08:17:25,2024-01-30T18:17:36,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
